0,"https://www.europarl.europa.eu/doceo/document/PV-9-2023-03-13-RCV_FR.xml"
1,"https://www.europarl.europa.eu/doceo/document/PV-9-2023-03-14-RCV_FR.xml"
2,"https://www.europarl.europa.eu/doceo/document/PV-9-2023-02-14-RCV_FR.xml"
3,"https://www.europarl.europa.eu/doceo/document/PV-9-2023-01-19-RCV_FR.xml"
4,"https://www.europarl.europa.eu/doceo/document/PV-9-2023-03-15-RCV_FR.xml"
5,"https://www.europarl.europa.eu/doceo/document/PV-9-2023-02-01-RCV_FR.xml"
6,"https://www.europarl.europa.eu/doceo/document/PV-9-2023-02-13-RCV_FR.xml"
7,"https://www.europarl.europa.eu/doceo/document/PV-9-2023-01-17-RCV_FR.xml"
8,"https://www.europarl.europa.eu/doceo/document/PV-9-2023-03-16-RCV_FR.xml"
9,"https://www.europarl.europa.eu/doceo/document/PV-9-2023-01-16-RCV_FR.xml"
10,"https://www.europarl.europa.eu/doceo/document/PV-9-2023-02-16-RCV_FR.xml"
11,"https://www.europarl.europa.eu/doceo/document/PV-9-2023-01-18-RCV_FR.xml"
12,"https://www.europarl.europa.eu/doceo/document/PV-9-2023-02-02-RCV_FR.xml"
13,"https://www.europarl.europa.eu/doceo/document/PV-9-2023-02-15-RCV_FR.xml"
14,"https://www.europarl.europa.eu/doceo/document/PV-9-2023-02-02-RCV_FR.xml"
15,"https://www.europarl.europa.eu/doceo/document/PV-9-2023-02-15-RCV_FR.xml"
